 INFO [main] 2021-02-25 10:51:34,518 (SagaShell.java:119): process argument 'dataset=C:/Users/86189/Desktop/jira/code-wisdom-jira'
 INFO [main] 2021-02-25 10:51:34,550 (SagaShell.java:119): process argument 'language=java'
 INFO [main] 2021-02-25 10:51:34,550 (SagaShell.java:119): process argument 'extensions=java'
 INFO [main] 2021-02-25 10:51:34,550 (SagaShell.java:119): process argument 'granularity=snippet'
 INFO [main] 2021-02-25 10:51:34,554 (SagaShell.java:119): process argument 'exe=clone-service/executable/executable_cpu_win10_snippet.exe'
 INFO [main] 2021-02-25 10:51:34,555 (SagaShell.java:119): process argument 'threshold=0.7'
 INFO [main] 2021-02-25 10:51:34,562 (SagaShell.java:54): loading file list...
 INFO [main] 2021-02-25 10:51:34,565 (SagaShell.java:75): 0 files have been loaded
 INFO [main] 2021-02-25 10:51:34,565 (SagaShell.java:82): loading state...
 INFO [main] 2021-02-25 10:51:34,572 (Tokenizer.java:69): ==========================================
 INFO [main] 2021-02-25 10:51:34,572 (Tokenizer.java:70):                  tokenize                 
 INFO [main] 2021-02-25 10:51:34,572 (Tokenizer.java:71): ==========================================
 INFO [main] 2021-02-25 10:51:34,576 (Tokenizer.java:157): tokenIndexList: [-2147483647]
 INFO [main] 2021-02-25 10:51:34,576 (Tokenizer.java:159): total token num is: 0
 INFO [main] 2021-02-25 10:51:34,576 (Tokenizer.java:160): total measure num is: 0
 INFO [main] 2021-02-25 10:51:34,577 (Tokenizer.java:161): total line is: 0
 INFO [main] 2021-02-25 10:51:34,586 (SuffixArrayBuilder.java:23): ==========================================
 INFO [main] 2021-02-25 10:51:34,586 (SuffixArrayBuilder.java:24):                   build                   
 INFO [main] 2021-02-25 10:51:34,586 (SuffixArrayBuilder.java:25): ==========================================
 INFO [main] 2021-02-25 10:51:34,598 (CPUSnippetParser.java:36): ==========================================
 INFO [main] 2021-02-25 10:51:34,598 (CPUSnippetParser.java:37):                   parse                   
 INFO [main] 2021-02-25 10:51:34,598 (CPUSnippetParser.java:38): ==========================================
 INFO [main] 2021-02-25 10:51:34,602 (CPUSnippetParser.java:61): result group: 0
 INFO [main] 2021-02-25 10:51:34,603 (SagaShell.java:189): total time cost: 0h 0m 0s
 INFO [main] 2021-02-25 10:53:40,501 (SagaShell.java:119): process argument 'dataset=C:\Users\86189\Desktop\jira\code-wisdom-jira\src\main\java\cn\edu\fudan\codewisdom\jira'
 INFO [main] 2021-02-25 10:53:40,529 (SagaShell.java:119): process argument 'language=java'
 INFO [main] 2021-02-25 10:53:40,530 (SagaShell.java:119): process argument 'extensions=java'
 INFO [main] 2021-02-25 10:53:40,530 (SagaShell.java:119): process argument 'granularity=snippet'
 INFO [main] 2021-02-25 10:53:40,532 (SagaShell.java:119): process argument 'exe=executable/executable_cpu_win10_snippet.exe'
 INFO [main] 2021-02-25 10:53:40,532 (SagaShell.java:119): process argument 'threshold=0.7'
 INFO [main] 2021-02-25 10:53:40,536 (SagaShell.java:54): loading file list...
 INFO [main] 2021-02-25 10:53:40,539 (SagaShell.java:75): 0 files have been loaded
 INFO [main] 2021-02-25 10:53:40,539 (SagaShell.java:82): loading state...
 INFO [main] 2021-02-25 10:53:40,548 (Tokenizer.java:69): ==========================================
 INFO [main] 2021-02-25 10:53:40,549 (Tokenizer.java:70):                  tokenize                 
 INFO [main] 2021-02-25 10:53:40,549 (Tokenizer.java:71): ==========================================
 INFO [main] 2021-02-25 10:53:40,553 (Tokenizer.java:157): tokenIndexList: [-2147483647]
 INFO [main] 2021-02-25 10:53:40,553 (Tokenizer.java:159): total token num is: 0
 INFO [main] 2021-02-25 10:53:40,553 (Tokenizer.java:160): total measure num is: 0
 INFO [main] 2021-02-25 10:53:40,554 (Tokenizer.java:161): total line is: 0
 INFO [main] 2021-02-25 10:53:40,563 (SuffixArrayBuilder.java:23): ==========================================
 INFO [main] 2021-02-25 10:53:40,564 (SuffixArrayBuilder.java:24):                   build                   
 INFO [main] 2021-02-25 10:53:40,564 (SuffixArrayBuilder.java:25): ==========================================
 INFO [main] 2021-02-25 10:53:40,573 (CPUSnippetParser.java:36): ==========================================
 INFO [main] 2021-02-25 10:53:40,574 (CPUSnippetParser.java:37):                   parse                   
 INFO [main] 2021-02-25 10:53:40,574 (CPUSnippetParser.java:38): ==========================================
 INFO [main] 2021-02-25 10:53:40,578 (CPUSnippetParser.java:61): result group: 0
 INFO [main] 2021-02-25 10:53:40,579 (SagaShell.java:189): total time cost: 0h 0m 0s
 INFO [main] 2021-02-25 10:53:54,742 (SagaShell.java:119): process argument 'dataset=C:\Users\86189\Desktop\jira\code-wisdom-jira\src\main\java\cn\edu\fudan\codewisdom'
 INFO [main] 2021-02-25 10:53:54,767 (SagaShell.java:119): process argument 'language=java'
 INFO [main] 2021-02-25 10:53:54,767 (SagaShell.java:119): process argument 'extensions=java'
 INFO [main] 2021-02-25 10:53:54,767 (SagaShell.java:119): process argument 'granularity=snippet'
 INFO [main] 2021-02-25 10:53:54,769 (SagaShell.java:119): process argument 'exe=executable/executable_cpu_win10_snippet.exe'
 INFO [main] 2021-02-25 10:53:54,769 (SagaShell.java:119): process argument 'threshold=0.7'
 INFO [main] 2021-02-25 10:53:54,773 (SagaShell.java:54): loading file list...
 INFO [main] 2021-02-25 10:53:54,776 (SagaShell.java:75): 0 files have been loaded
 INFO [main] 2021-02-25 10:53:54,776 (SagaShell.java:82): loading state...
 INFO [main] 2021-02-25 10:53:54,785 (Tokenizer.java:69): ==========================================
